pwm,tf,nvar,cons_aff,best_aff,dT,dN,dS,d_rep,same,rho,bucket
SP4_2	SP4_jolma_full_M31,SP4,3,0.7576352129397376,0.6565531773798963,-0.062375708704442936,-0.3579395445880238,0.29556383588358087,0,False,,neutral
SP4_Hsapiens-SwissRegulon-SP4.SwissRegulon,SP4,2,3.28400465964239e-06,3.28400465964239e-06,0.0,0.0,0.0,0,True,,neutral
SP4_Hsapiens-jaspar2016-SP4-MA0685.1,SP4,4,0.6309683822494482,0.47809436938101535,-0.13652973342529867,-0.16472910048069336,0.028199367055394692,0,False,0.0,neutral
SP4_Hsapiens-jaspar2018-SP4-MA0685.1,SP4,2,0.5467860396511911,0.5467860396511911,0.0,0.0,0.0,0,True,,neutral
SP8_1	SP8_jolma_DBD_M32,SP8,4,1.0,0.6673781047971867,0.22436595550262162,-0.8085301084196372,1.0328960639222589,0,False,-0.19999999999999998,normal-suppression
SP8_Hsapiens-SwissRegulon-SP8.SwissRegulon,SP8,3,0.15074309978768569,0.12116942259437001,-0.4307048691837508,-0.5802787097672354,0.1495738405834846,0,False,,neutral
SP8_Hsapiens-jaspar2016-SP8-MA0747.1,SP8,6,0.3793053087651821,0.3793053087651821,0.0,0.0,0.0,0,True,0.14285714285714288,neutral
SP8_Hsapiens-jaspar2018-SP8-MA0747.1,SP8,4,0.23476098237558804,0.15106296482291884,-0.28255847702753906,-0.8353837681229203,0.5528252910953813,0,False,-0.7999999999999999,normal-suppression
SP8_Hsapiens-jolma2013-SP8,SP8,5,0.2028147371834024,0.2028147371834024,0.0,0.0,0.0,0,True,0.39999999999999997,neutral
SPAG7_Hsapiens-hPDI-SPAG7,SPAG7,10,1.0,0.5007488766849718,1.1190336630919449,0.3692999498384256,0.7497337132535192,0,False,-0.22110831935702663,tumor-gain
SPDEF_1	Spdef_bulyk_sc09-primary,SPDEF,8,0.747297292770505,0.22410284907406428,2.185124120030098,2.0504896394555243,0.1346344805745736,0,False,0.19047619047619052,neutral
SPDEF_2	SPDEF_jolma_DBD_M117,SPDEF,8,1.0,0.4734370515911476,-0.2272514046230845,-1.055532611808341,0.8282812071852566,0,False,-0.1666666666666667,normal-suppression
SPDEF_3	SPDEF_jolma_DBD_M118,SPDEF,10,1.0,0.33299415392491516,0.7682400709801555,-0.7087679041899272,1.4770079751700826,0,False,-0.17575757575757575,tumor-gain
SPDEF_4	SPDEF_jolma_DBD_M119,SPDEF,4,1.0,0.4989094925322209,-0.6353087185858557,-1.5744449929778639,0.9391362743920082,0,False,0.19999999999999998,divergent
SPDEF_5	SPDEF_jolma_full_M120,SPDEF,10,0.2989241908480121,0.291550190763341,0.08003725090917864,-0.542017388622783,0.6220546395319617,0,False,0.05454545454545454,normal-suppression
SPDEF_6	SPDEF_jolma_full_M121,SPDEF,10,0.4694398245824782,0.19948328982297514,0.6324059701335193,-0.1786895955301384,0.8110955656636577,0,False,-0.29696969696969694,tumor-gain
SPDEF_7	SPDEF_jolma_full_M122,SPDEF,6,1.0,0.5195406568421983,1.496738603752881,0.014852789817525596,1.4818858139353552,0,False,-0.7142857142857143,tumor-gain
SPDEF_Hsapiens-HOCOMOCOv10-SPDEF_HUMAN.H10MO.D,SPDEF,7,0.9302913065682267,0.61073282235508,0.046872205525836166,-0.7903358455606241,0.8372080510864602,0,False,0.3214285714285715,normal-suppression
SPDEF_Hsapiens-SwissRegulon-SPDEF.SwissRegulon,SPDEF,8,0.04316585726923143,0.029895979200575087,1.0093435587990875,0.7572022280202106,0.2521413307788769,0,False,0.5000000000000001,neutral
SPDEF_Hsapiens-jaspar2016-SPDEF-MA0686.1,SPDEF,10,0.13892649797136195,0.13114977989631194,-0.34022750418083,-2.0566865302659694,1.7164590260851393,0,False,-0.04242424242424241,normal-suppression
SPDEF_Hsapiens-jaspar2018-SPDEF-MA0686.1,SPDEF,9,0.09198890205328047,0.09198890205328047,0.0,0.0,0.0,0,True,0.6666666666666667,neutral
SPDEF_Hsapiens-jolma2013-SPDEF,SPDEF,6,0.051285076277443116,0.051285076277443116,0.0,0.0,0.0,0,True,0.6571428571428573,neutral
SPDEF_Hsapiens-jolma2013-SPDEF-2,SPDEF,9,0.15221204443578285,0.14937974789477415,1.0647312346876487,0.019488634816263797,1.045242599871385,0,False,0.26666666666666666,tumor-gain
SPDEF_Hsapiens-jolma2013-SPDEF-3,SPDEF,2,0.35232228021927015,0.35232228021927015,0.0,0.0,0.0,0,True,,neutral
SPDEF_Hsapiens-jolma2013-SPDEF-4,SPDEF,10,0.06357614458525118,0.042074071715442404,-0.3846375292390056,-1.4235874415313599,1.0389499122923542,0,False,-0.2727272727272727,normal-suppression
SPDEF_Hsapiens-jolma2013-SPDEF-5,SPDEF,10,0.13144242786234042,0.10941022768309792,0.068564423037747,-0.23332524861224085,0.30188967164998787,0,False,-0.41818181818181815,neutral
SPDEF_Hsapiens-jolma2013-SPDEF-6,SPDEF,7,0.49452653036264554,0.35180704106955435,0.6671430861777039,-0.5353707165980172,1.2025138027757212,0,False,-0.642857142857143,tumor-gain
SPI1_Hsapiens-JASPAR_CORE-SPI1-MA0080.2,SPI1,6,0.028773826417472066,0.02813023054910641,0.46485559801998205,-0.13859367436823145,0.6034492723882134,0,False,0.08571428571428573,other
SPI1_Hsapiens-SwissRegulon-SPI1.SwissRegulon,SPI1,6,0.004642518007856481,0.003874143627211576,-0.48522252508126446,-1.9761822448989967,1.4909597198177322,0,False,0.3142857142857143,normal-suppression
