tf,sensor_log2_selectivity,tf_mrna_log10_ratio
GLI2,-0.13034,0.00519
ATF3,-0.13034,0.74563
ERG,-0.13047,1.54862
RFX1,-0.13052,0.20032
GLI2,-0.13058,0.00519
ZKSCAN3,-0.13061,0.45019
SMARCC2,-0.13072,0.2036
SOX8,-0.13073,0.98528
NFIX,-0.1308,-0.37506
ZRSR2,-0.13097,-0.31794
HOXD13,-0.131,1.61407
BHLHE40,-0.13102,0.12349
TBX1,-0.13108,1.76691
SOX2,-0.13114,1.37658
MAFK,-0.13117,-0.18717
USF1,-0.13127,-0.13268
ZDHHC15,-0.13129,1.7796
ELK3,-0.13132,-0.31483
TFAP2A,-0.13133,-0.00481
PPARG,-0.13141,-0.0062
FOS,-0.13142,0.11477
TBX1,-0.13142,1.76691
TFCP2,-0.13143,-0.18064
CLOCK,-0.13148,0.06464
POU2F2,-0.13158,-0.79029
FOXA1,-0.13162,0.59218
ESX1,-0.13165,1.18752
SP1,-0.13173,0.23865
FLI1,-0.13176,-2.13898
NRL,-0.13177,0.13212
ID4,-0.13178,-0.49292
RARG,-0.13179,-0.50335
TFAP2A,-0.1318,-0.00481
TBX1,-0.13183,1.76691
HOXB8,-0.13192,0.34207
BARHL2,-0.13195,1.83251
TCF3,-0.13205,-0.11833
ESRRA,-0.13206,0.36686
ATF6,-0.13218,-0.21495
BACH2,-0.1322,1.29373
FLI1,-0.13221,-2.13898
MLXIPL,-0.13222,1.28556
NR4A1,-0.13232,0.49659
ZNF3,-0.13232,0.04979
NME1,-0.13234,-0.05802
GBX2,-0.13235,1.92073
FOS,-0.13238,0.11477
TFAP2A,-0.13239,-0.00481
NR3C1,-0.13239,-0.11267
MAFF,-0.1324,0.15237
EN2,-0.1324,1.5098
CUX1,-0.13242,-0.02564
ZEB1,-0.13244,-0.14882
HOMEZ,-0.13247,0.41613
GABPA,-0.13248,-0.14939
EN1,-0.13251,1.50651
MSX2,-0.13266,1.37658
ZNF333,-0.13269,-0.13501
NR3C1,-0.13275,-0.11267
NR2F1,-0.13279,-0.40683
IKZF2,-0.1328,0.28605
ETS1,-0.13284,0.2381
GATA6,-0.13285,-0.4102
BCL6,-0.13287,-0.46691
CREB3,-0.13294,-0.24841
HSF2,-0.133,0.0708
ECSIT,-0.13309,-0.05492
HOXA2,-0.1331,-0.49643
ELK3,-0.13312,-0.31483
LMX1B,-0.13316,1.549
HIC1,-0.13316,-0.93177
PDX1,-0.13317,1.13033
RARA,-0.13318,-0.25519
TFCP2,-0.1332,-0.18064
YY1,-0.13324,0.14859
NR2F1,-0.13338,-0.40683
STAT3,-0.13338,-0.16234
NFIA,-0.13339,0.15147
E2F1,-0.13341,-0.14567
BARHL2,-0.13348,1.83251
ERG,-0.1335,1.54862
DLX4,-0.1335,1.70529
SREBF1,-0.13351,-0.15578
YY1,-0.13355,0.14859
RUNX3,-0.13357,1.32536
ABCF2,-0.13358,0.00184
FOXK1,-0.13368,0.61424
OTX1,-0.13369,0.61502
POU6F1,-0.13371,-0.06658
HDAC2,-0.13371,0.15118
GATA3,-0.13388,0.63765
FLI1,-0.1339,-2.13898
HOXB3,-0.13393,-0.40051
NKX3-1,-0.13398,-0.17361
DLX1,-0.13405,0.10983
SOX18,-0.13408,1.26007
RORA,-0.1341,1.26779
BACH1,-0.13418,-0.08588
SMAD3,-0.13422,-0.38086
ZNF3,-0.13424,0.04979
ESRRA,-0.13429,0.36686
MYB,-0.13434,-0.11523
NFIC,-0.13438,-0.21458
RAD21,-0.13439,0.33699
HAND1,-0.13446,0.94118
PAX6,-0.13448,0.87769
NKX3-1,-0.13454,-0.17361
MSX1,-0.1346,0.83405
ELF2,-0.13465,0.08062
NKX3-1,-0.1347,-0.17361
FOXA3,-0.1348,1.07463
RFX5,-0.13482,0.24121
GLI2,-0.13483,0.00519
MEIS1,-0.13487,-0.46847
GLI2,-0.1349,0.00519
BACH2,-0.13492,1.29373
HEY1,-0.135,1.16638
TBP,-0.13503,0.01746
IRX3,-0.1354,0.16577
MYBL1,-0.13546,0.21759
HSF1,-0.13548,0.46176
TFAP4,-0.13549,0.30334
RXRA,-0.13555,0.30198
LHX4,-0.13566,0.54007
CBFB,-0.13567,0.09939
JUNB,-0.13574,0.12824
ZIC3,-0.13576,1.58206
JUN,-0.13577,0.26082
RARA,-0.13577,-0.25519
PAX3,-0.13587,1.45939
FOXP3,-0.13591,0.80403
NR2C2,-0.13595,0.21475
MAFB,-0.13595,0.64383
APEX2,-0.13602,0.01034
TFCP2,-0.13608,-0.18064
NFE2L2,-0.13612,0.01426
SREBF2,-0.13615,0.00057
FOXD3,-0.13616,1.66375
MYBL1,-0.13618,0.21759
ERG,-0.1362,1.54862
TEAD1,-0.13623,0.23157
GMEB2,-0.13641,0.07687
OTX1,-0.13642,0.61502
HOXA2,-0.13643,-0.49643
TEAD1,-0.13646,0.23157
E2F3,-0.13668,0.35972
HOXB7,-0.13673,0.26541
PBX2,-0.13683,0.47253
SOX2,-0.13683,1.37658
FOXO4,-0.13686,0.05375
ISL2,-0.13688,1.25248
E2F1,-0.13698,-0.14567
GATA2,-0.137,-0.05162
MLX,-0.13706,0.04225
PPARG,-0.1371,-0.0062
LEF1,-0.13712,0.99309
NR3C1,-0.1372,-0.11267
NFIA,-0.13722,0.15147
STAT1,-0.13727,-0.01743
POU2F2,-0.13728,-0.79029
GLI2,-0.13738,0.00519
ZBTB4,-0.1376,-0.18334
NFIC,-0.13767,-0.21458
NRL,-0.13773,0.13212
CUX2,-0.13775,1.0607
ETV5,-0.13781,0.00428
HIF1A,-0.13786,-0.1013
FOXO6,-0.13796,1.52196
CEBPD,-0.13797,0.31811
NFKB1,-0.138,-0.02496
GFI1,-0.13802,0.95373
CLOCK,-0.13804,0.06464
ATF2,-0.13805,0.19734
CTCF,-0.13812,0.1109
SREBF2,-0.13816,0.00057
TEAD4,-0.13819,0.33182
CREB3L1,-0.1382,-0.29251
RARB,-0.13824,-0.80509
OTX1,-0.13838,0.61502
ZDHHC15,-0.13843,1.7796
BCL3,-0.13848,-0.30304
MESP1,-0.13858,0.43381
HOXA5,-0.13863,0.04334
PKNOX2,-0.13865,0.45558
ELK4,-0.13872,0.1604
EN1,-0.13878,1.50651
TWIST1,-0.13879,-0.19509
PCK2,-0.13883,0.89665
HNF4G,-0.13888,0.89252
NKX2-1,-0.13894,2.41647
ZBTB6,-0.13895,0.06759
PAX6,-0.13895,0.87769
MEIS2,-0.13898,-0.06534
TBX20,-0.13902,1.45484
LMO2,-0.13906,0.51266
REST,-0.13906,0.20711
FOXK1,-0.13918,0.61424
TFAP2A,-0.13923,-0.00481
YY2,-0.13931,-0.33904
TCF7,-0.13937,0.17771
ELK1,-0.13945,-0.14318
HOXD13,-0.13948,1.61407
TEAD1,-0.13952,0.23157
ESX1,-0.13956,1.18752
FOXA1,-0.13964,0.59218
CEBPG,-0.13979,0.22789
RUNX2,-0.13987,-0.44748
RFX5,-0.13991,0.24121
LHX6,-0.13993,1.97772
FOSL1,-0.13998,0.12968
NRL,-0.14007,0.13212
TCF4,-0.1403,-0.83621
ISL2,-0.14041,1.25248
HIC2,-0.14046,0.48876
BDP1,-0.14048,0.41219
HNF4G,-0.14052,0.89252
MAFK,-0.14057,-0.18717
MYBL2,-0.14057,-0.19707
GATA3,-0.1406,0.63765
RFX3,-0.1407,0.21238
ELF1,-0.14076,-0.0385
LHX2,-0.14077,1.74567
FOS,-0.14081,0.11477
NFYB,-0.14103,-0.01498
CTCF,-0.14103,0.1109
UBE2V1,-0.14104,-0.08291
SMARCC2,-0.14106,0.2036
NFYB,-0.14112,-0.01498
BARHL2,-0.14114,1.83251
FOXO4,-0.14122,0.05375
OLIG2,-0.14127,0.79877
POU3F3,-0.14139,1.52977
FOXO4,-0.14143,0.05375
TCF7,-0.14158,0.17771
NR2C1,-0.14165,0.14754
FOSL1,-0.14165,0.12968
AHR,-0.14167,-0.31593
NXPH3,-0.14172,0.17609
MXI1,-0.14182,0.36623
RFX5,-0.14183,0.24121
HOXA3,-0.14183,-0.49974
SMAP2,-0.14185,0.05035
GBX2,-0.14188,1.92073
RUNX2,-0.142,-0.44748
USF2,-0.14203,-0.17263
MSX1,-0.14205,0.83405
NR3C1,-0.14207,-0.11267
EGR1,-0.14213,0.22639
STAT1,-0.14218,-0.01743
CREB1,-0.14219,-0.1189
MAFF,-0.14221,0.15237
FOXC2,-0.14238,-2.00079
SRF,-0.14244,-0.18877
NR1H2,-0.14251,-0.17777
MEOX1,-0.14251,0.5983
TGIF1,-0.14259,0.24022
XBP1,-0.14261,0.09852
MEIS2,-0.14273,-0.06534
GATA3,-0.14287,0.63765
NFYC,-0.1429,0.04732
RUNX2,-0.14298,-0.44748
DLX6,-0.14308,1.50012
DLX2,-0.14324,0.70947
SOX1,-0.14329,1.77815
CEBPB,-0.14333,0.1585
MYBL2,-0.14334,-0.19707
NR2C1,-0.14336,0.14754
MEIS2,-0.14342,-0.06534
GATA3,-0.14345,0.63765
IRF5,-0.14346,0.56234
HSF1,-0.14348,0.46176
HOXD9,-0.14351,-0.24896
E2F1,-0.14357,-0.14567
TBX1,-0.14358,1.76691
HEY2,-0.1436,1.09575
RXRA,-0.14362,0.30198
ELK4,-0.14364,0.1604
GFI1,-0.14365,0.95373
JUND,-0.14368,-0.03685
RXRA,-0.14371,0.30198
BCL11A,-0.14377,1.84042
NR2F1,-0.14385,-0.40683
NFE2,-0.14392,0.59563
TFAP2C,-0.14394,0.6037
BHLHE41,-0.14395,-0.53218
TEAD3,-0.14409,-0.10294
HSF1,-0.14412,0.46176
ETV2,-0.14414,-0.21244
MNT,-0.14415,0.05603
PPARG,-0.14415,-0.0062
GATA2,-0.14419,-0.05162
BCL6,-0.14422,-0.46691
TBX1,-0.14431,1.76691
SOX15,-0.14432,-0.29176
NR3C1,-0.14434,-0.11267
MECP2,-0.14437,0.18722
LHX6,-0.1444,1.97772
ZNF143,-0.14443,-0.08045
GATA2,-0.14456,-0.05162
GATA3,-0.1446,0.63765
HOXD3,-0.14462,-0.7231
ZNF3,-0.1447,0.04979
RFX2,-0.14471,0.09243
SOX17,-0.14472,-2.18298
MYB,-0.14474,-0.11523
SREBF2,-0.14494,0.00057
KLF4,-0.14498,1.14393
EN1,-0.1451,1.50651
HNF4G,-0.14522,0.89252
MEOX1,-0.14531,0.5983
SOX8,-0.14544,0.98528
RXRA,-0.14545,0.30198
TFAP2A,-0.14558,-0.00481
JUND,-0.14561,-0.03685
RFX3,-0.14562,0.21238
FOXP3,-0.14563,0.80403
RORB,-0.14568,1.75358
SOX2,-0.14569,1.37658
TFAP2C,-0.1457,0.6037
AGGF1,-0.14573,0.05794
CREB3L1,-0.14574,-0.29251
STAT5B,-0.14581,-0.28536
REL,-0.14583,0.12775
POU6F1,-0.14591,-0.06658
INSM1,-0.14592,1.22789
TBP,-0.14595,0.01746
RXRA,-0.14595,0.30198
ESRRB,-0.14597,1.09807
SOX17,-0.14606,-2.18298
NR4A2,-0.14611,0.11007
MLX,-0.14615,0.04225
LEF1,-0.14622,0.99309
RAD21,-0.14626,0.33699
TGIF2,-0.14635,0.13496
TFAP2A,-0.14643,-0.00481
SRF,-0.14648,-0.18877
POU2F1,-0.14654,0.47712
BACH2,-0.14657,1.29373
EN2,-0.14662,1.5098
POU2F2,-0.14668,-0.79029
SOX8,-0.1467,0.98528
EN2,-0.14677,1.5098
CREB3L2,-0.1468,0.15749
SOX8,-0.14682,0.98528
SREBF1,-0.14683,-0.15578
MORN1,-0.14686,0.37255
NFE2L1,-0.14688,-0.03223
RFX5,-0.1469,0.24121
HMX2,-0.14692,1.25527
SRF,-0.14694,-0.18877
TBX1,-0.14695,1.76691
RUNX2,-0.14695,-0.44748
SREBF1,-0.14698,-0.15578
ETV4,-0.14701,0.15297
TBX1,-0.14707,1.76691
NFIL3,-0.14711,0.04188
FOXA1,-0.14716,0.59218
TCF12,-0.14717,-0.03309
ARID5B,-0.14723,-0.5962
NR3C2,-0.14724,0.66608
TCF3,-0.14726,-0.11833
CUX1,-0.14735,-0.02564
AR,-0.14736,0.74347
IRF8,-0.14757,0.31482
DLX6,-0.14759,1.50012
GBX2,-0.14762,1.92073
NR1H2,-0.14762,-0.17777
YY2,-0.14762,-0.33904
BCL6,-0.14764,-0.46691
MSX2,-0.14771,1.37658
SOX2,-0.14772,1.37658
ZIC2,-0.1478,2.51825
ATF7,-0.14782,0.14396
TBX1,-0.14787,1.76691
VAX2,-0.14788,-0.14018
SOX8,-0.14791,0.98528
CEBPB,-0.14795,0.1585
FOXO4,-0.14795,0.05375
EMX2,-0.14803,1.14301
NFIA,-0.14805,0.15147
RAD21,-0.14808,0.33699
ZNF711,-0.14814,2.03364
NR4A1,-0.14819,0.49659
ETV1,-0.14822,0.0445
MAFF,-0.14823,0.15237
RCOR1,-0.14824,0.29047
SNAI1,-0.14824,-0.00065
HOXB6,-0.14826,0.12505
ZEB1,-0.14837,-0.14882
GATA3,-0.14838,0.63765
ZBTB3,-0.14838,0.39844
CEBPB,-0.14839,0.1585
FOXP3,-0.1484,0.80403
NFIX,-0.14845,-0.37506
NKX6-1,-0.14853,1.89061
AHR,-0.14853,-0.31593
THRB,-0.14857,0.86606
CEBPA,-0.14858,1.86054
TP53,-0.14869,-0.06103
MYC,-0.14871,0.22497
ID4,-0.14873,-0.49292
NFKB1,-0.14878,-0.02496
UQCRB,-0.14883,0.26139
TBP,-0.14887,0.01746
MAGOH,-0.149,0.20422
FOXO4,-0.14904,0.05375
FOS,-0.14904,0.11477
FOXA1,-0.14907,0.59218
NR3C2,-0.14907,0.66608
BARHL2,-0.14909,1.83251
FLI1,-0.1491,-2.13898
ELK1,-0.14915,-0.14318
SOX13,-0.14921,0.20325
PAX2,-0.1493,1.0569
PBX3,-0.14941,0.40978
RXRA,-0.14947,0.30198
OTX1,-0.14948,0.61502
TBX1,-0.1495,1.76691
GATA6,-0.14956,-0.4102
MSX2,-0.14963,1.37658
FOXL1,-0.14965,-0.97272
PAX6,-0.14968,0.87769
HAND1,-0.1497,0.94118
SRP9,-0.14982,0.0278
ETS1,-0.14984,0.2381
REL,-0.14986,0.12775
ELK3,-0.14988,-0.31483
ELK1,-0.14993,-0.14318
REST,-0.15002,0.20711
ETV6,-0.15005,-0.12382
SRF,-0.15008,-0.18877
ESRRA,-0.15011,0.36686
SIX5,-0.15012,-0.04506
NR4A3,-0.15014,0.41497
E2F1,-0.15016,-0.14567
TCF12,-0.15021,-0.03309
NR2F6,-0.15024,-0.07863
YWHAE,-0.15032,0.00704
RFX2,-0.15033,0.09243
REL,-0.15034,0.12775
GMEB2,-0.15039,0.07687
SMC3,-0.15043,0.09897
TFEB,-0.15056,-0.41856
PCK2,-0.15066,0.89665
VDR,-0.15066,0.18204
ELK4,-0.15067,0.1604
ID4,-0.1507,-0.49292
TFAP2C,-0.15075,0.6037
EGR1,-0.15076,0.22639
IRF4,-0.15078,-0.17271
RUNX3,-0.15081,1.32536
HSF1,-0.15093,0.46176
SIX5,-0.15099,-0.04506
HNF4G,-0.15108,0.89252
TBX1,-0.15109,1.76691
RXRA,-0.1511,0.30198
YY2,-0.15113,-0.33904
PAX6,-0.15121,0.87769
ESRRA,-0.15123,0.36686
PBX1,-0.15124,-0.73611
TBP,-0.15127,0.01746
JDP2,-0.1513,0.49816
FOXO4,-0.15132,0.05375
MZF1,-0.15133,0.10253
ERG,-0.15135,1.54862
STAT6,-0.15153,-0.29029
ELF1,-0.15164,-0.0385
TFAP2C,-0.15167,0.6037
DLX4,-0.15171,1.70529
SOX15,-0.15181,-0.29176
SMAD1,-0.15181,-0.01057
SIN3A,-0.15184,0.04933
ZDHHC15,-0.15184,1.7796
GATA3,-0.15185,0.63765
SP8,-0.15185,1.34044
RUNX2,-0.15186,-0.44748
STAT1,-0.15191,-0.01743
HOXA5,-0.15195,0.04334
RFX2,-0.15199,0.09243
OTX1,-0.15203,0.61502
NFIC,-0.15204,-0.21458
MEF2D,-0.15214,-0.06654
GTF2F1,-0.15219,0.04066
PRDM4,-0.1523,0.23073
MEIS1,-0.15231,-0.46847
GLI2,-0.15236,0.00519
HINFP,-0.15237,0.09309
ISL2,-0.15273,1.25248
NFATC1,-0.15274,1.17367
MSC,-0.15288,0.03375
SREBF2,-0.15318,0.00057
PAX2,-0.15321,1.0569
MZF1,-0.15329,0.10253
BACH1,-0.15341,-0.08588
NKX2-8,-0.15343,1.30963
LMO2,-0.15343,0.51266
BHLHE41,-0.15351,-0.53218
SP3,-0.15353,0.05187
FLI1,-0.15367,-2.13898
MEIS2,-0.15369,-0.06534
MEIS2,-0.15371,-0.06534
MEIS1,-0.15373,-0.46847
RARA,-0.15391,-0.25519
ZSCAN16,-0.15395,0.07149
FLI1,-0.15402,-2.13898
AHR,-0.15408,-0.31593
TBP,-0.15418,0.01746
SOX8,-0.15422,0.98528
TP53,-0.15422,-0.06103
EN1,-0.15425,1.50651
TGIF1,-0.1543,0.24022
ZNF143,-0.15437,-0.08045
HOXA2,-0.15448,-0.49643
ZEB1,-0.1545,-0.14882
NR2F2,-0.15452,-0.04126
E2F2,-0.15454,0.546
OSR2,-0.15466,0.51205
MAFF,-0.15468,0.15237
STAT3,-0.15477,-0.16234
ELF2,-0.15481,0.08062
SIX1,-0.15489,0.9836
SRF,-0.15494,-0.18877
PKNOX1,-0.15497,-0.01682
RFX5,-0.15499,0.24121
VAX1,-0.15503,1.0607
FOSL2,-0.15506,0.07854
OLIG2,-0.15509,0.79877
CEBPB,-0.15516,0.1585
EMX1,-0.15516,1.22011
SIX5,-0.15518,-0.04506
GFI1,-0.15535,0.95373
DLX5,-0.15535,1.14301
PQBP1,-0.15536,0.02009
EGR2,-0.15538,1.68485
TFCP2,-0.15539,-0.18064
PAX2,-0.15553,1.0569
TEAD1,-0.15554,0.23157
RXRA,-0.15554,0.30198
TFAP2C,-0.15559,0.6037
GBX2,-0.15565,1.92073
TBX1,-0.1557,1.76691
RFX5,-0.15583,0.24121
TBX20,-0.15592,1.45484
USF1,-0.15593,-0.13268
HOXD11,-0.15594,0.14834
RUNX3,-0.15599,1.32536
REST,-0.15603,0.20711
GATA2,-0.15604,-0.05162
GMEB2,-0.15605,0.07687
PKNOX2,-0.15605,0.45558
JUND,-0.15608,-0.03685
NFYA,-0.15614,-0.02481
EGR1,-0.15622,0.22639
GBX2,-0.15625,1.92073
TBP,-0.15629,0.01746
SREBF2,-0.15634,0.00057
IRF2,-0.15639,-0.18248
PHLDA2,-0.15644,-0.17956
FOXF1,-0.15658,0.17609
JUND,-0.15664,-0.03685
RORA,-0.15675,1.26779
TFAP4,-0.15679,0.30334
NR2F2,-0.15701,-0.04126
GATA6,-0.15701,-0.4102
ELK3,-0.15707,-0.31483
NKX3-1,-0.15719,-0.17361
CYCS,-0.1572,0.10917
USF1,-0.15728,-0.13268
LBX2,-0.15736,1.06169
MYBL2,-0.15739,-0.19707
CEBPA,-0.15746,1.86054
E2F1,-0.15747,-0.14567
SREBF1,-0.15757,-0.15578
BHLHE40,-0.15761,0.12349
NR3C1,-0.15762,-0.11267
HOXA5,-0.15772,0.04334
CEBPZ,-0.15774,0.03188
IRF1,-0.15781,0.07358
GFI1,-0.15785,0.95373
EP300,-0.15793,0.07356
TFCP2,-0.15797,-0.18064
MYB,-0.15803,-0.11523
TFAP2A,-0.15809,-0.00481
FOXD1,-0.15815,0.21153
TBX1,-0.15823,1.76691
RUNX3,-0.15825,1.32536
FOS,-0.15834,0.11477
CREB3L1,-0.15841,-0.29251
NFIC,-0.15842,-0.21458
RAD21,-0.15843,0.33699
PBX1,-0.15849,-0.73611
NR2F1,-0.15851,-0.40683
SOD1,-0.15853,-0.02102
TCF4,-0.15859,-0.83621
ISL2,-0.15866,1.25248
MEF2A,-0.15872,-0.11613
E2F5,-0.15884,0.52151
ZEB1,-0.15886,-0.14882
SOX2,-0.15886,1.37658
RUNX3,-0.15888,1.32536
SP3,-0.15895,0.05187
SIX3,-0.1591,1.18469
FOXO4,-0.15914,0.05375
RFX7,-0.15915,-0.09369
ZBED1,-0.15916,-0.20248
DMBX1,-0.15927,1.4014
TFAP2A,-0.15928,-0.00481
PQBP1,-0.15936,0.02009
RUNX1,-0.15943,-0.06798
ZKSCAN1,-0.15949,0.25502
EMX2,-0.1595,1.14301
SOX17,-0.15953,-2.18298
MAFA,-0.15954,1.66573
SMARCC1,-0.15957,0.26372
GBX2,-0.15963,1.92073
NFE2L1,-0.1597,-0.03223
SOX18,-0.1597,1.26007
NFIX,-0.15971,-0.37506
PITX1,-0.15976,2.66087
HINFP,-0.15977,0.09309
REST,-0.15989,0.20711
TFAP4,-0.15992,0.30334
TCF12,-0.15994,-0.03309
HIC2,-0.15995,0.48876
FOXG1,-0.15996,1.5762
TEAD4,-0.15998,0.33182
OLIG2,-0.16001,0.79877
PPARG,-0.16002,-0.0062
FOXC1,-0.16004,0.69824
HIF1A,-0.16005,-0.1013
FOXG1,-0.16011,1.5762
PAX6,-0.16019,0.87769
PPARA,-0.1602,0.48827
MEIS2,-0.16024,-0.06534
RARB,-0.16028,-0.80509
HOXA1,-0.16034,0.09858
FOXO1,-0.16036,0.19161
MSX2,-0.16037,1.37658
SRF,-0.16037,-0.18877
MAFF,-0.16048,0.15237
CXXC1,-0.16052,-0.20636
AR,-0.16058,0.74347
TFEB,-0.1606,-0.41856
RFX2,-0.16067,0.09243
HINFP,-0.16069,0.09309
MSI2,-0.16078,0.47744
SREBF2,-0.16086,0.00057
TFAP2A,-0.16092,-0.00481
JUND,-0.16108,-0.03685
CUX2,-0.16111,1.0607
TCF7,-0.16119,0.17771
SIX5,-0.16123,-0.04506
TCF7,-0.16125,0.17771
FOXM1,-0.16125,-0.09234
HBP1,-0.16135,-0.38822
EGR2,-0.16156,1.68485
ZEB1,-0.16159,-0.14882
CUX1,-0.16175,-0.02564
CEBPB,-0.16177,0.1585
ETV4,-0.16188,0.15297
MAFK,-0.16188,-0.18717
ELF4,-0.16189,-0.23961
CYB5R1,-0.16199,-0.02612
HESX1,-0.16199,0.17438
CLOCK,-0.16211,0.06464
CREB3L1,-0.16217,-0.29251
ERG,-0.1622,1.54862
CEBPB,-0.16221,0.1585
CBFB,-0.16222,0.09939
RCOR1,-0.16226,0.29047
TFCP2,-0.16239,-0.18064
ISL2,-0.16251,1.25248
MAF,-0.16253,1.50435
FOS,-0.16268,0.11477
ZNF3,-0.16272,0.04979
TBP,-0.16275,0.01746
BRCA1,-0.16279,-0.27515
ZEB1,-0.16287,-0.14882
MYC,-0.16289,0.22497
TFAP2C,-0.16301,0.6037
HES1,-0.16306,0.29018
BHLHE40,-0.16307,0.12349
OLIG2,-0.16307,0.79877
RFX2,-0.16314,0.09243
FOXO4,-0.1632,0.05375
MAFB,-0.16322,0.64383
REL,-0.16324,0.12775
TGIF1,-0.16333,0.24022
FOXO1,-0.16338,0.19161
NFYA,-0.16339,-0.02481
HMX1,-0.16343,1.5563
REL,-0.16348,0.12775
USF2,-0.16348,-0.17263
NR3C1,-0.16349,-0.11267
MYB,-0.16349,-0.11523
TCF4,-0.16352,-0.83621
ZBTB3,-0.16353,0.39844
HOXB3,-0.16358,-0.40051
HOXC6,-0.16362,-0.04045
E2F1,-0.16368,-0.14567
TCF7L1,-0.16368,-0.12623
FOXP3,-0.16383,0.80403
FOXO6,-0.1639,1.52196
ETV1,-0.1639,0.0445
GLI3,-0.16406,-0.16955
ATF2,-0.16414,0.19734
XBP1,-0.16415,0.09852
SOX9,-0.16426,0.21723
NFATC3,-0.16441,0.26356
FOXO4,-0.16445,0.05375
CENPB,-0.16448,-0.10852
HOXA3,-0.16449,-0.49974
SMAD4,-0.16452,0.01087
STAT3,-0.16454,-0.16234
FOXD3,-0.16468,1.66375
HMBOX1,-0.1647,0.39571
RFX5,-0.1647,0.24121
SNAI2,-0.16487,-0.12542
ZNF350,-0.16494,0.07255
ETV4,-0.16511,0.15297
BCL6,-0.16512,-0.46691
ZNF143,-0.16515,-0.08045
ETV6,-0.16521,-0.12382
FOXO1,-0.16523,0.19161
LHX6,-0.16526,1.97772
FOXC2,-0.16526,-2.00079
FOSL2,-0.16527,0.07854
JUN,-0.16527,0.26082
BCL11A,-0.16529,1.84042
PDX1,-0.16534,1.13033
SOX15,-0.16538,-0.29176
NFIA,-0.16538,0.15147
FOS,-0.16545,0.11477
HOXD3,-0.16549,-0.7231
YY2,-0.16554,-0.33904
NR2C2,-0.16556,0.21475
ZEB1,-0.16562,-0.14882
NFIX,-0.16564,-0.37506
SMAD3,-0.16565,-0.38086
FOXB1,-0.16568,1.39094
AR,-0.16572,0.74347
ETS2,-0.16574,0.26666
MAFK,-0.16574,-0.18717
NR4A3,-0.16577,0.41497
NR3C1,-0.1659,-0.11267
SOX18,-0.16593,1.26007
HOXA3,-0.16594,-0.49974
BRCA1,-0.16602,-0.27515
MYC,-0.16608,0.22497
TBX3,-0.16614,-0.64016
EGR2,-0.16615,1.68485
SOX8,-0.1663,0.98528
FOSL1,-0.16632,0.12968
MYLK,-0.16634,-0.31107
RUNX3,-0.16646,1.32536
FOXJ3,-0.16651,0.24609
STAU2,-0.16654,0.26301
HIRIP3,-0.1666,0.17969
NKX6-1,-0.16665,1.89061
GRHL1,-0.16666,0.60779
MAX,-0.16669,0.13856
HINFP,-0.16677,0.09309
PAX2,-0.16687,1.0569
RXRA,-0.16691,0.30198
ZNF711,-0.16692,2.03364
YY2,-0.16696,-0.33904
NKX2-8,-0.16703,1.30963
GFI1,-0.16709,0.95373
BARX1,-0.1671,1.13672
GATA2,-0.1671,-0.05162
IRF3,-0.16711,-0.1629
HOXD9,-0.16711,-0.24896
HERPUD1,-0.16719,0.11175
VDR,-0.16721,0.18204
PAX9,-0.16721,1.51678
E2F1,-0.16726,-0.14567
CENPB,-0.16726,-0.10852
MEF2D,-0.1673,-0.06654
GMEB2,-0.16731,0.07687
RFX5,-0.16731,0.24121
EMX1,-0.16736,1.22011
NFIA,-0.16739,0.15147
SMAD2,-0.16743,-0.33837
MAFK,-0.16747,-0.18717
ZBTB4,-0.16751,-0.18334
TFAP2C,-0.16758,0.6037
ZNF143,-0.16761,-0.08045
SOX15,-0.16764,-0.29176
NR3C1,-0.1677,-0.11267
NFYB,-0.16771,-0.01498
MAFK,-0.16772,-0.18717
NR3C1,-0.16773,-0.11267
NFYA,-0.1678,-0.02481
VDR,-0.16782,0.18204
SREBF2,-0.16795,0.00057
ESRRB,-0.16807,1.09807
CTCF,-0.16831,0.1109
ARNT,-0.16833,0.03492
TP53,-0.16838,-0.06103
XBP1,-0.16844,0.09852
BCL11A,-0.16846,1.84042
TFAP2A,-0.1685,-0.00481
RAD21,-0.16852,0.33699
CEBPB,-0.16857,0.1585
MDM2,-0.1687,0.03939
HOXD3,-0.16872,-0.7231
BDP1,-0.16876,0.41219
TFAP2A,-0.16885,-0.00481
ELK1,-0.1689,-0.14318
TFAP2A,-0.1689,-0.00481
SMAD3,-0.16891,-0.38086
HOXA3,-0.16896,-0.49974
HOXA4,-0.16905,-0.29989
MLX,-0.16905,0.04225
ESRRA,-0.16908,0.36686
SOX2,-0.16924,1.37658
PKNOX1,-0.1694,-0.01682
NFE2L2,-0.16943,0.01426
MAFK,-0.16946,-0.18717
MAFK,-0.16947,-0.18717
TP53,-0.16948,-0.06103
RFX5,-0.16948,0.24121
PDX1,-0.1695,1.13033
ETV3,-0.16968,0.22639
NFKB1,-0.16969,-0.02496
PAX6,-0.1697,0.87769
FOXO4,-0.16971,0.05375
TBX20,-0.16974,1.45484
TCF7,-0.16974,0.17771
MYB,-0.16976,-0.11523
ARNT,-0.16983,0.03492
NKX2-1,-0.16985,2.41647
HOXB3,-0.16986,-0.40051
TBX2,-0.16991,0.74219
MGA,-0.16993,0.06935
